Epoch,Train_Loss,Validation_Loss
1.000000000000000000e+00,8.619276516967349089e-01,2.778955549622575294e+00
2.000000000000000000e+00,5.896186848481495879e+00,1.414765050013859993e+00
3.000000000000000000e+00,1.390072517924838547e+00,1.309073497851689583e+00
4.000000000000000000e+00,1.202924218442704918e+00,1.142110909024874443e+00
5.000000000000000000e+00,1.112992697291903976e+00,1.050346558292706733e+00
6.000000000000000000e+00,1.119240313768386841e+00,1.017609042425950294e+00
7.000000000000000000e+00,1.043605542845196243e+00,1.083533277114232307e+00
8.000000000000000000e+00,1.053357405794991486e+00,1.075319424271583557e+00
9.000000000000000000e+00,1.067201614379882812e+00,1.009999642769495720e+00
1.000000000000000000e+01,1.006870167122946746e+00,9.872296725710233423e-01
